idx,meci_type
0185_7,0185_7
0176_8,0185_7
0120_2,0185_7
0165_2,0067_5
0198_2,0185_7
0019_3,0067_5
0085_2,0067_5
0104_3,0185_7
0078_2,0185_7
0000_2,0067_5
0058_7,0185_7
0139_3,0185_7
0126_4,0185_7
0158_2,0185_7
0158_3,0185_7
0061_2,0067_5
0000_3,0067_5
0181_2,0185_7
0083_5,0185_7
0193_14,0185_7
0078_3,0185_7
0104_2,0185_7
0141_2,0067_5
0085_3,0067_5
0187_4,0185_7
0019_2,0067_5
0165_3,0067_5
0087_3,0185_7
0094_9,0185_7
0185_4,0185_7
0106_2,0185_7
0178_4,0185_7
0187_6,0185_7
0122_3,0139_2
0167_3,0185_7
0098_4,0043_4
0063_2,0185_7
0026_2,0067_5
0062_10,0185_7
0058_4,0185_7
0183_2,0067_5
0190_8,0067_5
0081_5,0185_7
0011_9,0185_7
0154_11,0143_2
0047_3,0185_7
0039_4,0185_7
0047_2,0185_7
0126_6,0185_7
0011_8,0185_7
0153_19,0185_7
0081_4,0185_7
0183_3,0067_5
0149_8,0185_7
0058_5,0185_7
0062_11,0185_7
0124_4,0185_7
0026_3,0067_5
0119_4,0185_7
0020_5,0185_7
0146_10,0185_7
0131_8,0185_7
0122_2,0185_7
0043_6,0067_5
0167_2,0185_7
0106_3,0185_7
0143_3,0143_2
0041_4,0185_7
0094_8,0185_7
0087_2,0185_7
0120_4,0185_7
0031_9,0067_5
0067_3,0067_5
0167_6,0185_7
0043_2,0043_4
0104_5,0185_7
0141_5,0043_4
0048_11,0185_7
0147_3,0185_7
0083_2,0185_7
0193_13,0185_7
0139_5,0185_7
0126_2,0185_7
0163_2,0185_7
0158_4,0185_7
0183_6,0067_5
0126_3,0185_7
0061_4,0185_7
0139_4,0139_2
0083_3,0185_7
0154_8,0067_5
0000_5,0067_5
0147_2,0185_7
0078_5,0185_7
0048_10,0185_7
0187_2,0185_7
0141_4,0067_5
0198_5,0185_7
0019_4,0067_5
0087_7,0185_7
0067_2,0067_5
0143_4,0067_5
0041_3,0185_7
0185_2,0185_7
0178_2,0185_7
0198_7,0185_7
0065_2,0067_5
0020_2,0185_7
0098_2,0067_5
0000_7,0067_5
0161_3,0067_5
0058_2,0185_7
0081_3,0185_7
0039_3,0185_7
0039_2,0185_7
0081_2,0185_7
0061_7,0185_7
0193_11,0185_7
0063_5,0139_2
0124_2,0185_7
0161_2,0067_5
0098_3,0067_5
0119_2,0185_7
0122_4,0185_7
0020_3,0185_7
0104_7,0185_7
0198_6,0185_7
0178_3,0185_7
0087_4,0185_7
0185_3,0139_2
0041_2,0185_7
0106_5,0067_5
0143_5,0043_4
0182_2,0185_7
0080_5,0185_7
0010_9,0185_7
0200_4,0067_5
0146_6,0139_2
0062_2,0139_2
0148_9,0185_7
0059_4,0185_7
0166_3,0185_7
0123_3,0185_7
0064_4,0185_7
0099_4,0185_7
0188_9,0185_7
0118_5,0185_7
0086_3,0185_7
0184_4,0185_7
0151_8,0067_5
0040_5,0185_7
0142_2,0139_2
0040_11,0185_7
0086_2,0185_7
0176_10,0185_7
0166_2,0185_7
0123_2,0185_7
0186_7,0185_7
0148_8,0185_7
0052_11,0185_7
0062_3,0185_7
0082_6,0067_5
0200_5,0067_5
0003_2,0185_7
0046_2,0185_7
0144_5,0185_7
0010_8,0139_2
0182_3,0185_7
0162_4,0185_7
0144_7,0185_7
0159_2,0067_5
0193_9,0185_7
0082_4,0043_4
0160_6,0067_5
0044_2,0185_7
0097_8,0185_7
0084_2,0185_7
0105_3,0185_7
0021_7,0185_7
0116_9,0067_5
0153_9,0185_7
0099_7,0185_7
0079_2,0185_7
0177_8,0185_7
0066_5,0043_4
0164_2,0043_4
0199_2,0067_5
0199_3,0067_5
0164_3,0043_4
0040_7,0185_7
0023_4,0185_7
0066_4,0067_5
0079_3,0185_7
0099_6,0185_7
0153_8,0185_7
0140_2,0185_7
0021_6,0185_7
0105_2,0185_7
0084_3,0185_7
0186_4,0185_7
0138_2,0185_7
0146_4,0139_2
0052_12,0185_7
0044_3,0185_7
0180_2,0185_7
0082_5,0067_5
0193_8,0185_7
0200_6,0067_5
0159_3,0067_5
0144_6,0181_4
0080_7,0139_2
0157_8,0185_7
0144_2,0067_5
0200_2,0067_5
0038_3,0185_7
0160_3,0067_5
0062_4,0185_7
0180_6,0185_7
0059_2,0185_7
0105_6,0185_7
0021_2,0043_4
0140_6,0185_7
0064_2,0185_7
0123_5,0185_7
0084_7,0185_7
0118_3,0185_7
0099_2,0185_7
0142_4,0185_7
0040_3,0185_7
0184_2,0185_7
0086_5,0185_7
0086_4,0185_7
0040_2,0185_7
0118_2,0185_7
0084_6,0185_7
0166_4,0185_7
0021_3,0067_5
0064_3,0185_7
0059_3,0185_7
0180_7,0185_7
0044_6,0185_7
0160_2,0067_5
0038_2,0185_7
0182_5,0185_7
0080_2,0185_7
0112_9,0139_2
0134_8,0185_7
0162_2,0185_7
0127_2,0185_7
0159_4,0043_4
0044_4,0185_7
0155_9,0185_7
0082_2,0065_3
0029_8,0185_7
0123_6,0185_7
0042_2,0185_7
0140_5,0185_7
0051_8,0185_7
0105_5,0185_7
0105_11,0185_7
0087_12,0185_7
0186_3,0185_7
0079_4,0185_7
0023_3,0185_7
0066_3,0065_3
0142_7,0185_7
0199_4,0067_5
0199_5,0067_5
0023_2,0185_7
0142_6,0185_7
0066_2,0185_7
0164_5,0067_5
0075_8,0185_7
0030_8,0185_7
0186_2,0185_7
0105_10,0185_7
0157_18,0185_7
0123_7,0185_7
0042_3,0185_7
0082_3,0043_4
0180_4,0185_7
0155_8,0185_7
0146_2,0185_7
0048_8,0067_5
0162_3,0185_7
0046_7,0185_7
0127_3,0185_7
0134_9,0185_7
0171_9,0067_5
0073_3,0185_7
0157_7,0185_7
0112_7,0185_7
0171_4,0067_5
0010_14,0185_7
0057_2,0185_7
0012_2,0185_7
0026_15,0143_2
0140_9,0185_7
